source,edge,label
478,152,4
476,211,4
477,957,4
477,789,4
477,1617,4
476,81,4
477,222,4
1028,1518,4
1028,1863,4
1032,793,4
0,2073,5
1,1149,5
1,888,1
0,9,1
1,347,1
1030,1940,2
1030,37,2
1031,378,2
1032,2018,2
1032,851,0
1032,296,0
1031,1178,0
1032,39,3
1032,661,3
1897,1210,0
1898,166,0
1897,2082,0
1897,1422,0
1898,611,0
2,199,0
143,832,3
141,336,3
148,1320,3
2,1256,4
4,1362,4
4,634,4
596,883,4
597,802,4
596,1799,4
598,642,4
6,1356,2
6,512,0
5,1349,0
6,2085,5
7,1973,5
6,424,5
8,886,1
9,989,1
7,60,1
10,928,1
9,386,1
8,1871,1
10,1528,5
1504,2048,5
144,720,3
144,1414,3
145,648,3
144,1034,3
1037,43,1
1034,1072,1
1035,773,1
1035,1683,1
1035,983,1
1036,1870,1
15,1590,1
8,424,1
1539,1262,4
1539,227,4
1537,790,4
13,342,0
11,991,0
1036,55,4
1038,1460,0
1038,1142,0
1037,1931,0
1037,1241,0
149,547,0
151,1959,0
149,1802,0
146,566,0
148,1797,0
146,300,0
13,323,4
10,542,4
1365,798,3
1365,998,3
1362,855,3
1364,1933,3
1365,902,3
1364,1378,3
1040,471,3
1040,264,2
1041,128,2
1040,997,2
1038,668,2
1041,1355,2
1042,983,2
14,1843,0
14,1416,4
11,960,4
15,700,4
1041,314,0
1042,301,0
1041,1125,0
1040,120,0
1041,883,0
1041,1941,0
1042,341,0
1042,987,0
1042,1098,0
1043,1128,0
1042,722,3
1042,786,3
1042,1032,3
1044,151,3
1678,1374,5
15,560,4
19,356,4
15,1070,4
16,1348,4
15,1414,4
17,1615,4
13,1784,4
15,704,4
13,353,4
15,870,4
1047,859,0
1047,1966,0
13,1622,4
17,397,4
16,1598,4
20,563,4
16,724,5
16,1106,5
17,1820,5
19,110,5
17,1456,5
1051,369,5
1049,1965,5
1047,972,5
1048,1963,5
20,1783,4
1051,724,1
21,1009,1
21,1714,1
19,410,1
22,99,3
21,994,3
22,2040,3
22,870,3
22,927,3
1052,211,0
1051,1463,0
1054,341,0
1054,1097,0
22,505,0
22,255,0
22,1448,0
22,584,0
24,1997,0
22,1099,0
22,1796,0
22,1646,0
22,1101,0
24,1478,0
23,706,0
22,1003,0
22,1756,0
22,1603,0
658,511,0
1840,1039,4
24,492,3
23,1332,3
24,993,3
24,1920,3
20,969,3
24,978,3
23,371,3
1056,1875,5
1055,1493,5
25,1170,2
23,1247,2
28,948,2
28,910,4
25,2098,4
1055,1382,0
1053,67,0
1056,1479,0
23,1840,5
27,966,5
29,1839,4
1058,787,3
1056,2048,3
1056,45,3
1053,1056,3
1056,1257,3
